repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,status,start_date,join_date,liveness,unique-contributors,new-commits-last-30d,min-go-version,category,subcategory
submariner-io/submariner,2246,18,12,10,0,8.014,1,2,1739,36,Go,false,26,Sandbox,2021-04-28,2021-04-28,71.000,4,36,1.20,Runtime,Cloud Native Network
armadaproject/armada,377,9,6,2,0,23.873,3,1,1639,84,Go,false,81,Sandbox,2022-07-25,2022-07-25,67.000,15,60,1.20,Orchestration & Management,Scheduling & Orchestration
schemahero/schemahero,912,8,3,2,0,8.772,2,2,1692,41,Go,false,24,Sandbox,2020-11-10,2020-11-10,62.000,4,28,1.19,App Definition and Development,Database
projectcontour/contour,3549,19,14,4,0,5.354,1,2,2240,210,Go,false,42,Incubating,2020-07-07,2020-07-07,71.000,4,24,1.21,Orchestration & Management,Service Proxy
vitessio/vitess,17192,176,93,53,7,10.237,0,0,3822,362,Go,false,89,Graduated,2018-02-05,2018-02-05,100.000,25,113,1.21,App Definition and Development,Database
projectcapsule/capsule,1339,26,9,4,0,19.417,2,7,1263,48,Go,false,18,Sandbox,2022-12-13,2022-12-13,55.000,4,36,1.20,Orchestration & Management,Scheduling & Orchestration
clusternet/clusternet,1257,13,5,3,0,10.342,2,3,920,43,Go,false,39,Sandbox,2023-03-07,2023-03-07,52.000,6,12,1.20,Orchestration & Management,Scheduling & Orchestration
envoyproxy/envoy,23152,173,81,42,6,7.472,0,0,2684,1138,C++,false,1,Graduated,2017-09-13,2017-09-13,100.000,66,259,1.20,Orchestration & Management,Service Proxy
crossplane/crossplane,7910,167,116,51,6,21.113,0,0,1924,178,Go,false,45,Incubating,2020-06-25,2020-06-25,100.000,10,80,1.20,Orchestration & Management,Scheduling & Orchestration
tikv/tikv,13917,135,79,42,8,9.700,0,0,2905,415,Rust,false,119,Graduated,2018-08-28,2018-08-28,100.000,19,53,,App Definition and Development,Database
clusterpedia-io/clusterpedia,683,13,5,1,0,19.034,1,2,797,41,Go,false,36,Sandbox,2022-06-17,2022-06-17,66.000,6,36,1.20,Orchestration & Management,Scheduling & Orchestration
cloudevents/spec,4473,48,23,11,3,10.731,0,7,2196,117,Python,false,0,Incubating,2018-05-15,2018-05-15,62.000,3,5,,App Definition and Development,Streaming & Messaging
metallb/metallb,6311,94,45,23,4,14.895,0,0,2227,174,Go,false,25,Sandbox,2021-09-14,2021-09-14,100.000,8,52,1.20,Orchestration & Management,Service Proxy
eraser-dev/eraser,309,25,6,3,0,80.906,1,0,930,26,Go,false,26,Sandbox,2023-06-30,2023-06-30,77.000,4,6,1.18,Orchestration & Management,Scheduling & Orchestration
nats-io/nats-server,13965,161,79,45,6,11.529,0,0,4063,137,Go,false,10,Incubating,2018-03-15,2018-03-15,100.000,8,76,1.20,App Definition and Development,Streaming & Messaging
fluid-cloudnative/fluid,1463,24,12,4,1,16.405,0,0,1251,568,Go,false,32,Sandbox,2021-04-28,2021-04-28,95.000,28,42,1.18,Orchestration & Management,Scheduling & Orchestration
pravega/pravega,1931,10,2,1,0,5.179,3,1,2712,103,Java,false,0,Sandbox,2020-11-10,2020-11-10,54.000,4,4,,App Definition and Development,Streaming & Messaging
karmada-io/karmada,3718,100,64,47,13,26.896,0,0,1129,211,Go,false,54,Sandbox,2021-09-14,2021-09-14,100.000,21,158,1.20,Orchestration & Management,Scheduling & Orchestration
strimzi/strimzi-kafka-operator,4159,52,29,18,3,12.503,0,0,2778,243,Java,false,0,Sandbox,2019-08-28,2019-08-28,100.000,12,54,,App Definition and Development,Streaming & Messaging
kcp-dev/kcp,2124,15,7,3,1,7.062,0,1,988,107,Go,false,42,Sandbox,2023-09-19,2023-09-19,73.000,5,10,1.20,Orchestration & Management,Scheduling & Orchestration
tremor-rs/tremor-runtime,793,8,2,2,0,10.088,3,14,1536,44,Rust,false,84,Sandbox,2020-09-08,2020-09-08,28.000,2,16,,App Definition and Development,Streaming & Messaging
openelb/openelb,1472,27,15,5,0,18.342,1,92,1777,24,Go,false,27,Sandbox,2021-11-09,2021-11-09,25.000,0,0,1.16,Orchestration & Management,Service Proxy
emissary-ingress/emissary,4192,14,2,2,0,3.340,1,8,2450,226,Python,false,0,Incubating,2021-04-13,2021-04-13,46.000,4,26,,Orchestration & Management,API Gateway
aeraki-mesh/aeraki,705,2,2,2,0,2.837,1,1,1134,31,Go,false,29,Sandbox,2022-06-17,2022-06-17,54.000,3,6,1.20,Orchestration & Management,Service Mesh
istio/istio,34075,173,72,38,9,5.077,0,0,2582,1025,Go,false,114,Graduated,2022-09-30,2022-09-30,100.000,38,217,1.21,Orchestration & Management,Service Mesh
kedacore/keda,7185,128,55,29,3,17.815,0,0,1766,325,Go,false,105,Graduated,2020-03-12,2020-03-12,100.000,16,35,1.21,Orchestration & Management,Scheduling & Orchestration
kubernetes/kubernetes,103804,976,430,226,35,9.402,0,0,3478,3878,Go,false,120,Graduated,2016-03-10,2016-03-10,100.000,55,245,1.21,Orchestration & Management,Scheduling & Orchestration
kubereboot/kured,1985,21,9,3,0,10.579,2,1,2431,59,Go,false,14,Sandbox,2022-09-14,2022-09-14,75.000,3,27,1.20,Orchestration & Management,Scheduling & Orchestration
kumahq/kuma,3364,40,22,12,3,11.891,0,0,1737,89,Go,false,83,Sandbox,2020-06-25,2020-06-25,100.000,14,180,1.21.5,Orchestration & Management,Service Mesh
knative/serving,5203,45,34,16,1,8.649,0,0,2150,287,Go,false,34,Incubating,2022-03-02,2022-03-02,100.000,8,62,1.21,Orchestration & Management,Scheduling & Orchestration
linkerd/linkerd2,10049,82,28,16,4,8.160,0,0,2201,337,Go,false,49,Graduated,2017-01-23,2017-01-23,100.000,11,102,1.21,Orchestration & Management,Service Mesh
kube-rs/kube-rs,2444,41,16,9,1,16.776,0,13,1859,109,Rust,false,0,Sandbox,2021-11-16,2021-11-16,57.000,4,6,,Orchestration & Management,Scheduling & Orchestration
merbridge/merbridge,702,15,10,5,0,21.368,1,64,701,24,Go,false,18,Sandbox,2022-12-14,2022-12-14,21.000,0,0,1.19,Orchestration & Management,Service Mesh
k3s-io/k3s,25212,315,142,69,12,12.494,0,0,2023,1839,Go,false,78,Sandbox,2020-08-19,2020-08-19,100.000,10,29,1.20,Platform,Certified Kubernetes - Distribution
openservicemesh/osm,2589,1,1,1,0,0.386,3,157,1462,88,Go,true,62,Archived,2020-09-08,2020-09-08,0.000,0,0,1.19,Orchestration & Management,Service Mesh
backstage/backstage,24422,396,198,123,23,16.215,0,0,1420,1325,TypeScript,false,0,Incubating,2020-09-08,2020-09-08,100.000,79,1056,,App Definition and Development,Application Definition & Image Build
servicemeshinterface/smi-spec,1047,2,0,0,0,1.910,24,55,1727,43,Makefile,true,0,Archived,2020-03-19,2020-03-19,0.000,0,0,,Orchestration & Management,Service Mesh
buildpacks/pack,2280,29,11,6,2,12.719,0,8,1998,119,Go,false,35,Incubating,2018-10-03,2018-10-03,65.000,5,22,1.20,App Definition and Development,Application Definition & Image Build
operator-framework/operator-sdk,6824,50,23,10,2,7.327,0,0,2136,352,Go,false,42,Incubating,2020-07-09,2020-07-09,92.000,6,9,1.21,App Definition and Development,Application Definition & Image Build
getporter/porter,1083,10,5,2,1,9.234,0,0,1868,99,Go,false,64,Sandbox,2020-09-08,2020-09-08,74.000,2,3,1.20,App Definition and Development,Application Definition & Image Build
carvel-dev/ytt,1511,13,5,1,0,8.604,6,45,1750,60,Go,false,11,Sandbox,2022-09-14,2022-09-14,22.000,0,0,1.21,App Definition and Development,Application Definition & Image Build
